"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Item,Frequency
"the",3040023731
",",2721415463
".",2493520554
"and",1552555045
"of",1467848020
"to",1410516647
"a",1148552856
"in",1004856612
"is",619382956
"""",552401789
"that",551295791
"for",548053608
"it",435840110
"i",423155400
"with",408750333
"on",404573266
")",358333778
"(",350802303
"as",349244713
"you",317637699
"was",302828107
"this",299338620
"are",288159878
"be",284209298
"at",253110611
":",249885766
"by",248334491
"from",243932182
"have",229560761
"or",221503119
"not",210742393
"an",190589460
"we",188812137
"but",187934843
"he",185009050
"they",167847790
"will",164828855
"can",153911312
"has",151715931
"his",149602297
"all",143740131
"their",136022740
"your",134040857
"one",132625979
"if",126754350
"more",126525947
"n''t",126287996
"which",126037628
"''s",124143724
"?",117641680
"there",114859061
"do",114852556
"so",113007075
"my",110269789
"about",108816739
"''",108121602
"were",104547921
"when",103726471
"also",100667098
"had",100463590
"who",100101409
"what",97543256
";",96179710
"–",95498157
"would",94959631
"up",94467802
"new",93900802
"out",93104286
"our",92032483
"been",90470543
"-",89759636
"some",86933681
"her",86879966
"other",85328261
"time",85278148
"/",82149890
"like",81217552
"!",79379823
"its",78737788
"she",77952721
"...",77332863
"no",75928553
"just",75323346
"into",73866844
"them",73316791
"these",69827497
"than",68882027
"only",68195885
"first",67689227
"how",67658577
"people",65203208
"after",62699239
"any",61726310
"may",61524515
"me",60692533
"two",59813602
"over",59710133
"then",58834156
"get",58586828
"now",57272121
"most",56767752
"said",56041861
"could",55265401
"many",53450408
"well",52542261
"very",51415084
"work",51368334
"use",51182046
"see",49750963
"us",49634053
"make",49448437
"even",49366909
"where",49130869
"through",48692757
"years",48483432
"such",48374519
"did",48346151
"because",47924810
"should",47639078
"1",46756128
"him",46329708
"way",45111607
"[",45045209
"while",44742721
"good",44741996
"]",44508951
"being",43985351
"here",42989793
"those",42683775
"2",42661530
"back",42630095
"much",41626111
"does",41427789
"before",41010790
"year",40872175
"know",39995803
"made",38848950
"used",38284499
"need",38199242
"&",38147877
"both",36900112
"world",36478891
"$",36395399
"day",36126860
"between",35702458
"each",35594540
"think",35115069
"take",35023235
"still",34796749
"last",34287318
"same",33797226
"during",33071880
"great",32969658
"right",32930692
"go",32557612
"information",32496002
"%",31969837
"3",31959161
"down",31760571
"part",31598335
"life",31433872
"around",31375773
"help",30989896
"state",30959044
"since",30383952
"off",30302425
"best",30198322
"want",29724109
"really",29667395
"''m",29617718
"''re",29533506
"another",29421773
"own",29295735
"under",29145788
"three",29019764
"too",28993005
"using",28835979
"system",28330728
"home",28309084
"data",27838607
"find",27819043
"different",27737896
"''ve",27342516
"going",27078519
"however",26816221
"place",26621353
"including",26619294
"every",26604728
"long",26421217
"high",26288537
"am",25447671
"little",25403330
"without",25298589
"few",25277541
"must",25273872
"school",25219634
"business",25200535
"set",25195280
"number",25161683
"support",24817889
"against",24757927
"4",24254659
"found",24164261
"5",23787740
"public",23677514
"look",23662657
"why",23618924
"things",23485953
"research",23349528
"better",23313314
"something",23278773
"next",23215141
"health",23171508
"end",23108884
"never",23044819
"come",23002191
"say",22861349
"city",22560604
"service",22332931
"group",22227461
"might",22107364
"team",21927590
"10",21913101
"again",21875998
"family",21691268
"game",21687255
"water",21578434
"''ll",21463490
"within",21373616
"company",21369690
"students",21212689
"available",21081695
"always",21045514
"university",20928513
"government",20819728
"case",20781242
"second",20737081
"love",20710232
"got",20543065
"national",20483938
"small",20355149
"services",20299585
"point",20195085
"power",20123296
"show",20120033
"area",20077771
"read",19925286
"free",19811944
"old",19721832
"local",19713487
"program",19632738
"though",19559934
"development",19501789
"change",19440460
"name",19421167
"community",19331413
"experience",19114785
"times",19073110
"working",19025370
"order",18972487
"having",18827422
"until",18816446
"book",18808140
"important",18636366
"put",18592513
"course",18577509
"days",18538611
"lot",18501813
"once",18498415
"left",18442590
"project",18293524
"give",18229486
"house",18067986
"process",17895436
"several",17824155
"able",17792192
"*",17710701
"based",17691120
"top",17684030
"big",17662370
"children",17653499
"provide",17639018
"making",17631617
"away",17589411
"sure",17558296
"following",17530533
"open",17399444
"keep",17337871
"called",17246829
"full",17237159
"man",17236083
"social",17132147
"says",17080972
"today",17059780
"often",17014750
"less",16763806
"6",16737711
"care",16721757
"--",16698624
"states",16656806
"later",16465312
"large",16361023
"market",16294942
"thing",16257630
"example",16104303
"let",16067384
"start",16063126
"line",16043086
"already",15999042
"week",15988979
"international",15981332
"early",15974834
"control",15968857
"level",15932303
"four",15917612
"law",15837739
"given",15782778
"far",15771749
"along",15728817
"yet",15722719
"history",15717897
"enough",15705952
"others",15698460
"play",15696388
"looking",15681377
"general",15668426
"real",15667949
"together",15603570
"music",15595484
"american",15560252
"side",15531319
"members",15494104
"include",15423046
"''d",15401608
"across",15348551
"ca",15274367
"done",15231709
"online",15174031
"become",15140336
"least",15136680
"came",15124917
"design",15084459
"possible",14949261
"food",14938535
"per",14933340
"form",14898836
"fact",14855765
"country",14848636
"site",14806954
"study",14795853
"money",14753883
"human",14621992
"actually",14510850
"took",14495904
"feel",14471919
"known",14443851
"story",14409163
"ever",14344059
"future",14290813
"management",14276219
"series",14260463
"means",14222188
"current",14186014
"due",14172040
"please",14136407
"women",14104452
"education",14098572
"report",14092619
"god",14090947
"run",14058394
"whether",14034964
"=",14015754
"page",13904146
"war",13873064
"head",13837149
"live",13816656
"makes",13816550
"problem",13802564
"past",13785240
"7",13758851
"access",13682362
"went",13675728
"body",13665324
"person",13648306
"according",13610917
"center",13606197
"thought",13591767
"getting",13581174
"seen",13546917
"further",13534722
"needs",13519985
"doing",13497006
"call",13496651
"8",13487667
"south",13468852
"list",13437703
"united",13395497
"black",13380563
"among",13364109
"building",13330525
"million",13288350
"above",13278579
"article",13278396
"20",13262815
"either",13211650
"light",13195655
"rather",13189662
"court",13184003
"office",13164604
"young",13122350
"quality",13051343
"white",13022616
"although",13015414
"energy",12991382
"night",12990840
"president",12948912
"technology",12948504
"plan",12790646
"hard",12761598
"major",12741125
"try",12714387
"space",12679876
"special",12638373
"create",12609253
"john",12571285
"season",12557169
"news",12553460
"north",12470898
"talk",12469152
"hand",12457673
"issues",12447343
"media",12441237
"original",12406175
"started",12403971
"u.s.",12284211
"almost",12233399
"room",12229343
"bit",12204651
"video",12126240
"five",12121086
"|",12106785
"event",12101004
"film",12100477
"main",12098988
"post",12074724
"12",12047362
"value",12044496
"results",11971278
"art",11860448
"works",11807958
"months",11802653
"view",11778854
"type",11771047
"car",11767152
"comes",11747364
"systems",11700708
"board",11695849
"issue",11657291
"training",11653329
"air",11645898
"industry",11627381
"probably",11625766
"county",11588556
"job",11567149
"especially",11562573
"anything",11549215
"nothing",11533888
"whole",11530800
"question",11518069
"upon",11515029
"quite",11486579
"security",11466653
"action",11427051
"taking",11377757
"class",11365178
"taken",11345178
"party",11329375
"15",11323165
"products",11320268
"various",11316103
"believe",11295934
"30",11293500
"added",11269000
"key",11261584
"act",11261363
"seems",11256822
"performance",11240754
"men",11238758
"told",11238671
"email",11227153
"someone",11227095
"department",11224909
"single",11210519
"everything",11200560
"section",11198908
"kind",11190612
"instead",11114456
"road",11106556
"field",11098857
"hours",11066077
"church",11056610
"areas",11023630
"model",11006100
"range",10984731
"short",10956423
"member",10936442
"c",10932360
"age",10917870
"present",10887273
"march",10882665
"games",10875827
"below",10852618
"idea",10786298
"easy",10767566
"face",10720696
"close",10691795
"policy",10654151
"+",10617202
"result",10612548
"common",10602549
"college",10593463
"held",10590143
"add",10579921
"political",10575788
"offer",10545268
"thanks",10524618
"required",10514140
"death",10512038
"version",10511627
"personal",10496617
"s",10488270
"role",10445523
"mind",10444203
"global",10418483
"true",10407083
"move",10390269
"note",10387787
"ago",10369103
"science",10340041
"companies",10321274
"9",10306741
"review",10286251
"front",10250224
"continue",10190386
"land",10172055
"website",10172050
"june",10149958
"price",10136080
"trying",10132342
"low",10112311
"hope",10098310
"everyone",10094552
"clear",10092612
"test",10086001
"check",10079700
"cost",10064825
"likely",10059822
"product",10051848
"changes",10051615
"share",10047659
"b",10027195
"understand",10015883
"tell",9999864
"period",9993014
"living",9991051
"recent",9968900
"west",9965135
"director",9954856
"learning",9943517
"features",9933702
"red",9927261
"problems",9919230
"similar",9915190
"position",9862280
"events",9860932
"reason",9855388
"needed",9849427
"staff",9844861
"bad",9835928
"lead",9833769
"points",9832226
"interest",9818670
"file",9805418
"york",9805195
"total",9776147
"street",9766614
"anyone",9766049
"coming",9765874
"learn",9748411
"pay",9746182
"medical",9737157
"police",9735569
"words",9728767
"financial",9712575
"production",9711408
"near",9697366
"friends",9686717
"final",9686382
"behind",9680777
"application",9669373
"half",9666482
"april",9646352
"provides",9612721
"complete",9608529
"asked",9603585
"third",9591646
"11",9565583
"july",9564052
"questions",9561396
"date",9550847
"higher",9546793
"source",9545922
"software",9541809
"turn",9524124
"provided",9518882
"society",9510584
"code",9491098
"shows",9486465
"maybe",9483471
"became",9437950
"park",9432404
"matter",9419743
"100",9401851
"mean",9394371
"received",9392907
"simply",9379342
"contact",9363499
"strong",9360197
"child",9334448
"pretty",9323629
"student",9275640
"includes",9268013
"outside",9262012
"natural",9252797
"content",9247060
"increase",9242080
"bring",9240552
"currently",9182487
"certain",9176214
"meeting",9174564
"risk",9161432
"month",9159859
"created",9146740
"network",9132978
"^",9121074
"addition",9096086
"former",9093221
"rights",9082034
"september",9060641
"october",9053850
"practice",9035754
"related",9011792
"yes",9010307
"soon",9007230
"running",9003948
">",8994914
"cases",8989709
"itself",8980238
"town",8971204
"late",8957390
"property",8955523
"private",8952556
"saw",8932335
"wanted",8923969
"knowledge",8921662
"included",8892008
"percent",8885380
"return",8877039
"simple",8871564
"web",8870406
"word",8869833
"minutes",8830550
"recently",8828197
"writing",8822493
"sense",8816557
"record",8816375
"size",8805980
"specific",8803783
"#",8790206
"language",8765377
"ways",8738136
"reading",8732999
"lost",8728321
"visit",8726184
"paper",8687454
"stop",8669296
"heart",8667798
"six",8666569
"potential",8664546
"resources",8659492
"usually",8657145
"mr.",8646592
"economic",8635830
"themselves",8630422
"groups",8621541
"additional",8611798
"rate",8593253
"analysis",8585194
"green",8583501
"search",8575410
"growth",8569759
"himself",8564130
"..",8545168
"sometimes",8533726
"sound",8502133
"written",8494557
"january",8483700
"standard",8463868
"professional",8455788
"november",8424936
"began",8412820
"image",8406151
"else",8402784
"particular",8367645
"amount",8359261
"perhaps",8358100
"finally",8345249
"countries",8333822
"focus",8323278
"individual",8317844
"meet",8305142
"25",8301182
"terms",8298543
"build",8275769
"led",8269826
"east",8247971
"approach",8247516
"50",8242006
"takes",8234544
"activities",8230025
"books",8225416
"allow",8225164
"august",8221539
"fire",8219246
"worked",8219104
"throughout",8217676
"impact",8202645
"cause",8198351
"etc.",8196842
"programs",8186927
"longer",8174367
"deal",8165875
"leave",8143540
"built",8129060
"evidence",8113978
"ask",8101498
"studies",8095767
"treatment",8089484
"thus",8079156
"oil",8072329
"forward",8063622
"digital",8055045
"via",8049116
"environment",8040810
"force",8039036
"published",8034528
"designed",8029775
"effect",8004686
"offers",8003536
"inside",8001730
"december",8001624
"remember",7992896
"press",7986642
"english",7971715
"looks",7954441
"account",7947394
"2020",7946879
"central",7940859
"release",7935120
"players",7931111
"buy",7930666
"fun",7930196
"address",7896930
"council",7892215
"safety",7884181
"nature",7879971
"projects",7873314
"nice",7835714
"patients",7834329
"shall",7828976
"born",7820937
"drive",7811847
"rest",7778570
"tax",7774484
"opportunity",7773576
"table",7769524
"summer",7764455
"lower",7763025
"involved",7760191
"significant",7749789
"response",7734781
"details",7727662
"14",7721077
"weeks",7698555
"dr.",7686297
"conditions",7676540
"de",7667641
"subject",7634161
"federal",7621651
"parts",7615603
"therefore",7604171
"club",7587969
"16",7577842
"america",7563947
"material",7558260
"located",7557702
"internet",7555544
"levels",7529964
"committee",7500562
"district",7485087
"playing",7480646
"18",7480181
"title",7475793
"13",7472654
"link",7470227
"decision",7466113
"uk",7462104
"computer",7458399
"....",7453626
"played",7436223
"couple",7428696
"lives",7425923
"d",7408371
"legal",7407311
"gave",7403984
"•",7380273
"interesting",7379006
"step",7375549
"users",7374265
"2012",7357757
"0",7346410
"stay",7331825
"entire",7322568
"x",7319911
"eyes",7315161
"towards",7310582
"skills",7274347
"perfect",7271813
"user",7264559
"father",7261349
"ground",7259902
"bill",7258106
"bank",7256741
"2016",7249616
"modern",7248481
"son",7239008
"2015",7222635
"goes",7219672
"river",7216753
"considered",7215661
"ability",7214306
"limited",7213110
"consider",7202931
"career",7202831
"necessary",7183793
"conference",7180334
"seem",7153699
"location",7147549
"cover",7129803
"military",7124308
"difficult",7122192
"previous",7114638
"trade",7105297
"despite",7095281
"2010",7080482
"fall",7078205
"popular",7073961
"2014",7073708
"region",7062902
"win",7062091
"text",7059072
"developed",7056567
"leading",7054174
"ensure",7053652
"2018",7041243
"term",7040940
"cut",7039972
"released",7035055
"2013",7033997
"morning",7019731
"2019",7016882
"collection",7005107
"february",7002824
"hit",6978474
"000",6976688
"2011",6970369
"china",6949370
"success",6942395
"phone",6941855
"figure",6940469
"wrong",6934196
"2017",6917917
"heard",6913098
"unique",6909187
"style",6908841
"happy",6905393
"london",6897577
"hold",6894719
"association",6886386
"saying",6884701
"woman",6884592
"multiple",6870941
"customers",6867153
"schools",6861984
"sales",6858616
"quickly",6850862
"parents",6846335
"brought",6837786
"character",6812900
"beautiful",6811074
"fine",6804193
"thinking",6799656
"reported",6793895
"culture",6791858
"watch",6790660
"india",6773976
"planning",6773202
"physical",6762620
"plans",6754228
"follow",6735804
"track",6731961
"average",6698496
"2021",6691711
"enjoy",6685303
"middle",6684188
"beyond",6678344
"gets",6677485
"understanding",6671524
"felt",6669936
"daily",6652643
"sent",6650118
"attention",6647524
"looked",6632491
"expected",6619245
"effective",6600722
"mother",6599806
"24",6598324
"options",6587097
"blue",6585358
"wo",6579093
"century",6555642
"ones",6553179
"british",6551694
"moment",6544932
"kids",6544857
"earlier",6543645
"costs",6540369
"base",6515323
"turned",6513668
"player",6504393
"situation",6504228
"stage",6487507
"credit",6476471
"easily",6471182
"box",6457536
"population",6453912
"applications",6448822
"friend",6430033
"travel",6429951
"whose",6429453
"2008",6427689
"died",6425526
"choice",6412926
"decided",6412348
"effects",6402439
"particularly",6397037
"click",6388481
"thank",6385071
"reports",6382265
"giving",6372333
"organization",6372199
"answer",6358260
"windows",6348969
"write",6342696
"tried",6341716
"moved",6341280
"receive",6340507
"2009",6333135
"wrote",6327482
"utc",6326975
"david",6326026
"hands",6325541
"race",6322434
"starting",6313924
"rules",6305714
"european",6304334
"providing",6304036
"17",6293215
"comments",6290474
"function",6282763
"directly",6278989
"construction",6269209
"develop",6262793
"store",6262196
"latest",6260136
"increased",6258600
"knew",6257724
"worth",6254743
"choose",6242557
"color",6238594
